交易ID,账户,金额,类型,时间戳,状态,备注
TXN00000001,ACC123456,15000.50,转账,2023-01-15T09:30:45,成功,正常
TXN00000002,ACC234567,32000.75,支付,2023-01-15T10:15:30,成功,正常
TXN00000003,ACC345678,8500.00,提现,2023-01-15T11:45:22,成功,正常
TXN00000004,ACC456789,999999.99,充值,2023-01-15T13:20:15,失败,异常
TXN00000005,ACC567890,2500.25,退款,2023-01-15T14:30:45,待确认,审查中
TXN00000006,ACC678901,45000.00,转账,2023-01-15T15:45:30,成功,正常
TXN00000007,ACC789012,12000.50,支付,2023-01-15T16:20:15,失败,冻结
TXN00000008,ACC890123,68000.75,充值,2023-01-15T17:15:45,成功,正常
TXN00000009,ACC901234,25500.00,提现,2023-01-15T18:30:22,待确认,已解冻
TXN00000010,ACC012345,-5000.00,退款,2023-01-15T19:45:15,成功,异常
